time,source,destination,cwnd,mss
2024-11-02T14:53:02.087, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.087, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.087, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.087, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.087, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.087, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.087, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.228, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.228, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.228, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.228, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.228, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.228, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.228, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.228, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.364, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.364, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.364, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.364, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.364, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.364, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.364, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.364, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.501, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.501, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.501, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.501, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.501, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.501, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.501, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.501, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.645, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.645, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.645, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.645, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.645, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.645, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.645, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.645, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.786, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.786, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.786, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.786, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.786, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.786, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.786, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.786, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.930, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.930, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.930, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.930, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:02.930, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:02.930, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.930, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:02.930, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:03.093, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:03.093, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:03.093, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:03.093, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:03.093, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:03.093, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:03.093, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:03.093, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:03.393, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:03.393, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:03.393, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:03.393, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:03.393, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:03.393, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:03.393, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:03.393, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:03.694, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:03.694, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:03.694, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:03.694, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:03.694, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:03.694, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:03.694, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:03.694, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.008, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.008, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.008, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.008, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.008, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.008, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:04.008, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:04.008, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.281, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.281, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.281, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.281, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.281, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.281, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:04.281, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:04.281, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.603, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.603, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.603, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.603, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.603, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.603, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:04.603, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:04.603, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.917, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.917, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.917, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.917, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:04.917, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:04.917, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:04.917, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:04.917, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:05.222, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:05.222, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:05.222, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:05.222, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:05.222, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:05.222, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:05.222, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:05.222, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:05.514, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:05.514, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:05.514, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:05.514, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:05.514, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:05.514, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:05.514, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:05.514, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:05.811, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:05.811, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:05.811, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:05.811, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:05.811, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:05.811, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:05.811, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:05.811, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:06.118, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:06.118, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:06.118, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:06.118, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:06.118, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:06.118, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:06.118, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:06.118, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:06.416, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:06.416, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:06.416, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:06.416, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:06.416, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:06.416, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:06.416, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:06.416, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:06.714, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:06.714, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:06.714, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:06.714, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:06.714, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:06.714, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:06.714, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:06.714, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:07.107, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:07.107, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:07.107, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:07.107, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:07.107, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:07.107, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:07.107, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:07.107, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:07.496, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:07.496, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:07.496, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:07.496, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:07.496, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:07.496, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:07.496, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:07.496, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:07.871, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:07.871, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:07.871, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:07.871, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:07.871, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:07.871, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:07.871, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:07.871, 10.0.4.101:44212, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:08.241, 10.0.4.101:50634, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:08.241, 10.0.2.101:50100, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:08.241, 10.0.3.101:52550, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:08.241, 10.0.2.101:42226, 10.0.1.101:5211, 10, 1448
2024-11-02T14:53:08.241, 10.0.2.101:54540, 10.0.1.101:5212, 10, 1448
2024-11-02T14:53:08.241, 10.0.4.101:35816, 10.0.1.101:5210, 10, 1448
2024-11-02T14:53:08.241, 10.0.3.101:53894, 10.0.1.101:5210, 10, 1448
